date	pupularity	change
20130101	2	66.6964771921
20130201	3	1.90848501888
20130301	2	0
20130401	1	23.7214724499
20130501	3	0
20130601	1	0.99113561652
20130701	3	0
20130801	2	0.903089986992
20130901	0	4.29843822531
20131001	1	0.23856062736
20131101	2	1.80617997398
20131201	3	0.23856062736
20140101	3	0
20140201	4	0.23856062736
20140301	0	0
20140401	2	0
20140501	2	0
20140601	0	0
20140701	2	5.71713959453
20140801	1	0
20140901	2	0
20141001	1	0.778151250384
20141101	2	1.53147891704
20141201	1	0
20150101	1	0
20150201	1	0
20150301	4	0
20150401	2	0
20150501	3	0.23856062736
20150601	1	0
20150701	0	0
20150801	3	0
20150901	2	17.0463440273
20151001	1	1.43136376416
20151101	0	7.71162881965
20151201	1	0
20160101	5	0
20160201	4	2.52186185606
20160301	4	0.698970004336
20160401	2	0.23856062736
20160501	1	12.5951903625
20160601	1	12.0259282427
20160701	2	0
20160801	3	0
20160901	7	9.09663139705
20161001	0	0.23856062736
20161101	5	13.2804910101
20161201	4	0
20170101	7	0
20170201	7	0
20170301	1	0
