date	pupularity	change
20130201	0	0.0
20130301	0	0
20130401	3	0
20130501	1	0
20130601	0	0
20130701	1	0
20130801	0	0
20130901	0	0
20131001	0	0
20131101	1	0
20131201	2	0
20140101	0	0
20140201	1	0
20140301	1	0
20140401	3	0
20140501	0	0
20140601	0	0.573064017839
20140701	0	0
20140801	1	0
20140901	0	0
20141001	1	0
20141101	0	0
20141201	0	0
20150101	1	0
20150201	0	0
20150301	0	0
20150401	0	0
20150501	0	0
20150601	1	0
20150701	0	0
20150801	1	0
20150901	0	0
20151001	1	0
20151101	1	0
20151201	0	0
20160101	2	0
20160201	0	0
20160301	0	0
20160401	0	0
20160501	0	0
20160601	0	0
20160701	3	0
20160801	2	0
20160901	1	0
20161001	0	0
20161101	0	0
20161201	1	0
20170101	1	0
20170201	1	0
20170301	0	0
