date	pupularity	change
20130101	2	2.65627801746
20130201	3	0.150514997832
20130301	2	0
20130401	1	0
20130501	3	0
20130601	1	0.99113561652
20130701	3	0
20130801	2	0
20130901	0	2.03742649794
20131001	1	0
20131101	2	0
20131201	3	0
20140101	3	0
20140201	4	0
20140301	0	0
20140401	2	0
20140501	2	0
20140601	0	0
20140701	2	5.71713959453
20140801	1	0
20140901	2	0
20141001	1	0
20141101	2	0.745680846917
20141201	1	0
20150101	1	0
20150201	1	0
20150301	4	0
20150401	2	0
20150501	3	0.23856062736
20150601	1	0
20150701	0	0
20150801	3	0
20150901	2	5.47582924543
20151001	1	0.349485002168
20151101	0	1.0377734807
20151201	1	0
20160101	5	0
20160201	4	0.789891798308
20160301	4	0.23856062736
20160401	2	0
20160501	1	2.49413674752
20160601	50	12.0259282427
20160701	2	0
20160801	3	0
20160901	7	9.09663139705
20161001	0	0
20161101	5	5.13874781923
20161201	4	0
20170101	8	0
20170201	7	0
20170301	2	0
