date	pupularity	change
20131201	0	1.13707892463
20140101	0	0
20140201	0	0.0
20140301	0	6.03743336993
20140401	0	0
20140501	5	0
20140601	2	0
20140701	2	0
20140801	4	0
20140901	3	0
20141001	2	0
20141101	3	0
20141201	5	0
20150101	7	0.451544993496
20150201	11	0
20150301	4	0
20150401	6	0
20150501	6	0
20150601	7	0
20150701	5	0
20150801	8	0
20150901	8	0
20151001	11	0.451544993496
20151101	7	0
20151201	3	0
20160101	5	0
20160201	4	0
20160301	5	0
20160401	5	0
20160501	2	0
20160601	0	0
20160701	3	0
20160801	7	0
20160901	3	0
20161001	3	0
20161101	4	0
20161201	5	0
20170101	7	0
20170201	2	0
20170301	3	0
